iter	Passed	Remaining
597	7070	4752
598	7081	4740
599	7093	4728
600	7105	4717
601	7116	4704
602	7128	4693
603	7140	4681
604	7152	4669
605	7164	4657
606	7176	4646
607	7188	4634
608	7200	4623
609	7212	4611
610	7224	4599
611	7237	4588
612	7249	4576
613	7260	4564
614	7273	4553
615	7285	4541
616	7298	4530
617	7308	4517
618	7320	4505
619	7331	4493
620	7342	4481
621	7354	4469
622	7366	4457
623	7378	4446
624	7390	4434
625	7402	4422
626	7414	4410
627	7425	4398
628	7436	4386
629	7447	4374
630	7458	4361
631	7470	4349
632	7480	4337
633	7492	4325
634	7503	4312
635	7514	4300
636	7527	4289
637	7538	4277
638	7550	4265
639	7561	4253
640	7572	4241
641	7584	4229
642	7596	4217
643	7608	4205
644	7620	4194
645	7632	4182
646	7643	4170
647	7654	4158
648	7665	4145
649	7676	4133
650	7688	4121
651	7699	4109
652	7710	4097
653	7722	4085
654	7734	4073
655	7744	4061
656	7755	4049
657	7767	4037
658	7779	4025
659	7792	4014
660	7803	4001
661	7814	3990
662	7826	3978
663	7838	3966
664	7850	3954
665	7862	3943
666	7874	3931
667	7886	3919
668	7897	3907
669	7908	3895
670	7921	3884
671	7932	3871
672	7943	3859
673	7955	3848
674	7966	3835
675	7978	3824
676	7990	3812
677	8000	3799
678	8012	3787
679	8023	3775
680	8034	3763
681	8047	3752
682	8059	3740
683	8071	3728
684	8083	3717
685	8095	3705
686	8105	3693
687	8118	3681
688	8130	3670
689	8143	3658
690	8156	3647
691	8168	3635
692	8181	3624
693	8192	3612
694	8204	3600
695	8215	3588
696	8229	3577
697	8241	3565
698	8253	3554
699	8265	3542
700	8277	3530
701	8289	3518
702	8300	3506
703	8312	3494
704	8323	3482
705	8336	3471
706	8348	3459
707	8360	3447
708	8372	3436
709	8383	3424
710	8395	3412
711	8407	3400
712	8418	3388
713	8430	3376
714	8442	3365
715	8453	3353
716	8465	3341
717	8477	3329
718	8487	3317
719	8499	3305
720	8510	3293
721	8522	3281
722	8534	3269
723	8545	3257
724	8557	3245
725	8569	3234
726	8580	3221
727	8591	3210
728	8603	3198
729	8615	3186
730	8626	3174
731	8638	3162
732	8650	3151
733	8663	3139
734	8675	3127
735	8688	3116
736	8701	3105
737	8713	3093
738	8725	3081
739	8737	3069
740	8749	3058
741	8761	3046
742	8774	3035
743	8787	3023
744	8799	3011
745	8811	3000
746	8823	2988
747	8835	2976
748	8846	2964
749	8857	2952
750	8868	2940
751	8880	2928
752	8892	2916
753	8903	2904
754	8914	2892
755	8925	2880
756	8936	2868
757	8948	2856
758	8959	2844
759	8970	2832
760	8982	2821
761	8994	2809
762	9004	2796
763	9016	2785
764	9027	2773
765	9038	2761
766	9050	2749
767	9061	2737
768	9072	2725
769	9084	2713
770	9096	2701
771	9110	2690
772	9122	2678
773	9134	2667
774	9146	2655
775	9159	2643
776	9171	2632
777	9182	2620
778	9194	2608
779	9206	2596
780	9218	2584
781	9228	2572
782	9240	2560
783	9252	2549
784	9263	2537
785	9275	2525
786	9286	2513
787	9297	2501
788	9310	2489
789	9321	2477
790	9334	2466
791	9345	2454
792	9357	2442
793	9369	2430
794	9381	2419
795	9392	2407
796	9404	2395
797	9415	2383
798	9426	2371
799	9438	2359
800	9449	2347
801	9461	2335
802	9472	2323
803	9483	2312
804	9495	2300
805	9507	2288
806	9519	2276
807	9531	2264
808	9542	2252
809	9553	2240
810	9565	2229
811	9576	2217
812	9587	2205
813	9599	2193
814	9610	2181
815	9621	2169
816	9633	2157
817	9645	2146
818	9660	2134
819	9672	2123
820	9683	2111
821	9695	2099
822	9707	2087
823	9719	2076
824	9731	2064
825	9743	2052
826	9755	2040
827	9766	2028
828	9778	2017
829	9790	2005
830	9801	1993
831	9814	1981
832	9826	1970
833	9838	1958
834	9851	1946
835	9863	1934
836	9876	1923
837	9889	1911
838	9901	1899
839	9912	1888
840	9924	1876
841	9935	1864
842	9947	1852
843	9959	1840
844	9971	1829
845	9983	1817
846	9996	1805
847	10008	1793
848	10023	1782
849	10036	1771
850	10050	1759
851	10063	1748
852	10078	1736
853	10091	1725
854	10104	1713
855	10117	1702
856	10129	1690
857	10142	1678
858	10154	1666
859	10166	1654
860	10179	1643
861	10191	1631
862	10204	1619
863	10215	1608
864	10228	1596
865	10240	1584
866	10252	1572
867	10264	1560
868	10277	1549
869	10288	1537
870	10300	1525
871	10313	1513
872	10323	1501
873	10335	1489
874	10346	1478
875	10358	1466
876	10370	1454
877	10382	1442
878	10393	1430
879	10406	1419
880	10418	1407
881	10430	1395
882	10442	1383
883	10454	1371
884	10466	1360
885	10477	1348
886	10490	1336
887	10502	1324
888	10513	1312
889	10524	1300
890	10536	1288
891	10547	1277
892	10559	1265
893	10571	1253
894	10583	1241
895	10595	1229
896	10607	1217
897	10618	1206
898	10630	1194
899	10641	1182
900	10653	1170
901	10665	1158
902	10676	1146
903	10687	1134
904	10699	1123
905	10710	1111
906	10723	1099
907	10734	1087
908	10744	1075
909	10756	1063
910	10767	1051
911	10778	1040
912	10790	1028
913	10801	1016
914	10814	1004
915	10826	992
916	10838	981
917	10849	969
918	10861	957
919	10873	945
920	10885	933
921	10897	921
922	10907	909
923	10920	898
924	10932	886
925	10943	874
926	10955	862
927	10966	850
928	10979	839
929	10991	827
930	11002	815
931	11014	803
932	11026	791
933	11038	780
934	11050	768
935	11061	756
936	11074	744
937	11087	732
938	11099	721
939	11111	709
940	11122	697
941	11134	685
942	11146	673
943	11158	661
944	11171	650
945	11182	638
946	11193	626
947	11206	614
948	11219	602
949	11230	591
950	11241	579
951	11255	567
952	11266	555
953	11277	543
954	11288	531
955	11300	520
956	11311	508
957	11322	496
958	11334	484
959	11345	472
960	11357	460
961	11368	449
962	11379	437
963	11391	425
964	11402	413
965	11413	401
966	11425	389
967	11436	378
968	11448	366
969	11461	354
970	11472	342
971	11484	330
972	11496	319
973	11507	307
974	11518	295
975	11530	283
976	11544	271
977	11557	259
978	11571	248
979	11583	236
980	11594	224
981	11605	212
982	11617	200
983	11628	189
984	11640	177
985	11653	165
986	11665	153
987	11676	141
988	11687	129
989	11698	118
990	11710	106
991	11722	94
992	11734	82
993	11746	70
994	11757	59
995	11768	47
996	11780	35
997	11792	23
998	11803	11
999	11814	0
